goodb,dealer,t_month,years,income,male,ed,age,trade
1,1,70,12,6,1,4,37,1
1,1,40,2,5,1,5,40,1
1,1,35,10,7,1,5,29,0
0,1,33,3,5,1,4,42,1
0,1,32,10,4,1,3,25,0
0,1,30,10,3,1,6,24,1
0,1,30,10,4,1,2,50,0
1,1,30,10,4,1,4,36,1
1,1,30,3,6,1,4,51,0
1,1,25,18,6,1,6,37,0
1,1,25,10,3,1,4,32,1
0,1,23,10,5,1,4,48,1
0,1,21,31,7,1,2,55,0
0,1,20,6,5,0,5,50,0
0,1,20,10,4,1,4,59,0
1,1,20,20,6,1,3,39,1
1,1,20,14,1,1,2,19,1
1,1,20,10,4,1,4,32,0
1,1,20,15,4,1,5,29,1
1,1,20,20,7,1,3,43,0
1,1,19,10,1,1,2,21,0
1,1,19,7,1,1,1,18,1
0,1,17,10,3,1,2,65,1
1,1,17,7,3,1,4,29,0
1,1,17,3,6,1,4,57,1
0,1,16,6,1,0,1,15,1
0,1,16,5,6,1,6,36,1
1,1,16,16,5,1,2,60,0
0,1,15,10,4,1,4,37,0
0,1,15,12,1,1,2,19,1
0,1,15,20,6,1,4,40,1
1,1,15,8,5,1,3,25,0
1,1,15,7,1,0,2,17,1
1,1,15,10,1,1,2,18,1
1,1,15,11,3,1,2,30,0
1,1,15,5,3,1,2,38,0
1,1,14,7,5,1,4,41,1
0,1,13,21,7,1,3,42,0
0,1,13,13,1,1,2,16,0
0,1,12,12,2,1,2,20,0
0,1,11,2,6,1,3,30,1
1,1,11,1,3,1,5,29,1
0,1,10,12,6,1,4,33,0
0,1,10,5,1,1,2,18,0
0,1,10,4,5,1,2,28,1
0,1,10,2,7,1,6,31,0
0,1,10,30,8,1,5,51,0
0,1,10,10,7,1,5,32,1
1,1,10,5,5,1,2,32,0
1,1,10,10,7,1,3,48,1
1,1,10,2,1,1,2,16,0
1,1,10,9,5,1,6,36,0
1,1,10,20,4,1,4,28,1
1,1,10,14,2,1,5,43,1
0,1,8,12,4,1,5,31,0
1,1,8,10,3,1,2,32,0
0,1,5,10,5,1,5,50,1
0,1,5,15,6,1,2,32,0
1,1,5,35,5,1,6,55,0
1,1,5,20,5,1,5,42,0
1,1,5,10,3,1,2,25,0
1,1,5,7,6,1,4,29,0
1,1,5,6,5,1,2,28,0
0,1,4,10,6,1,4,38,1
0,1,4,12,5,1,5,45,1
0,1,4,4,3,1,4,43,1
1,1,4,2,5,1,4,36,0
0,1,3,12,1,1,1,16,0
0,1,3,4,4,0,2,32,0
0,1,3,3,5,1,3,31,0
1,1,3,5,5,1,3,28,1
1,1,2,13,6,0,4,45,0
0,1,1,15,1,1,1,17,1
0,1,0,2,4,1,2,35,0
1,0,32,6,1,1,3,14,0
1,0,20,2,1,1,6,10,0
1,0,12,1,5,1,5,43,0
1,0,9,8,5,1,2,42,1
1,0,9,4,7,1,5,43,0
1,0,9,20,6,1,3,34,1
1,0,8,12,7,1,3,43,1
1,0,8,1,7,1,2,43,0
1,0,8,0,5,1,5,34,1
1,0,7,11,4,1,3,34,1
1,0,7,2.5,7,1,6,32,1
1,0,7,10,5,1,5,42,1
1,0,3,60,2,1,3,69,0
1,0,6,1,6,1,6,34,1
1,0,0,0,6,1,4,43,0
1,0,6,5,1,1,2,19,0
1,0,5,10,2,1,5,23,1
1,0,5,8,5,0,4,43,0
1,0,5,1,7,0,4,40,0
1,0,5,4,6,1,6,32,0
1,0,5,1,2,1,4,27,0
1,0,0,43,7,1,6,70,0
1,0,4,7,6,1,4,35,0
1,0,3,5,7,1,3,42,0
1,0,3,18,5,1,6,45,0
1,0,3,11,1,1,6,29,0
1,0,3,1,5,1,4,32,1
1,0,2,9,5,1,5,32,0
1,0,2,0,6,0,4,45,0
1,0,0,9,5,1,6,58,0
1,0,1,20,6,1,4,42,0
1,0,1,5,6,1,5,43,0
1,0,1,3.5,6,1,4,43,0
1,0,1,4,7,1,4,33,0
1,0,1,0,1,1,2,17,0
1,0,1,1,5,1,4,34,0
1,0,0,3,6,1,5,29,0
1,0,0,12,1,1,2,19,0
1,0,0,12,6,0,5,56,0
0,0,30,4,1,0,1,10,1
0,0,25,3,1,1,5,10,0
0,0,20,3,1,1,5,15,1
0,0,12,5,5,1,4,43,1
0,0,10,2,1,0,1,16,0
0,0,9,7,5,1,2,24,0
0,0,9,14,2,1,5,34,1
0,0,9,4,4,0,5,56,0
0,0,9,1,4,1,5,45,1
0,0,8,2,1,1,1,24,0
0,0,8,2,4,1,3,32,1
0,0,8,0,4,1,3,37,0
0,0,7,7,2,1,4,24,0
0,0,7,1,2,0,5,43,0
0,0,6,10,1,0,2,21,0
0,0,6,4,5,1,3,25,0
0,0,0,11,2,1,4,76,0
0,0,5,0,1,1,1,10,0
0,0,5,6,5,1,5,29,0
0,0,0,10,2,1,5,45,0
0,0,4,20,4,1,2,42,0
0,0,3,0,3,1,6,49,0
0,0,3,4,5,1,6,38,0
0,0,3,0,4,1,2,43,0
0,0,2,1,5,1,6,30,0
0,0,2,12,2,1,4,23,0
0,0,1,2,4,1,2,24,0
0,0,1,6,5,1,3,50,0
0,0,0,6,5,1,2,55,0
0,0,1,3,1,1,2,18,1
0,0,1,1,4,1,3,34,0
0,0,1,0,5,0,4,23,0
0,0,1,8,5,1,2,23,0
0,0,1,23,5,1,4,32,0
0,0,0,1,1,1,2,17,0
